_time;;;;;;;;;_difference
Float;;;Double;;;Fraction;;;Float;;;Double;;;Fraction;;
G;PG;FG;G;PG;FG;G;PG;FG;G;PG;FG;G;PG;FG;G;PG;FG
1,6991;8,8375;9,2748;17,979;20,658;20,2079;0;0;0;7,45058059692383E-08;2,38418579101563E-07;1,9371509552002E-07;1,11022302462516E-16;3,60822483003176E-16;3,60822483003176E-16;0;0;0
0,0034;0,0055;0,0811;0,0788;0,0043;0,008;0;0;0;8,19563865661621E-07;4,4703483581543E-07;3,27825546264648E-07;3,27515792264421E-15;1,49880108324396E-15;1,16573417585641E-15;0;0;0
0,0088;0,0108;0,0181;0,0087;0,0121;0,1043;0;0;0;9,00775194168091E-05;1,30832195281982E-05;6,73532485961914E-06;3,92047505570758E-14;1,90403248723214E-14;2,33701946683595E-14;0;0;0
0,0143;0,0241;0,1254;0,0255;0,0242;0,0826;0;0;0;4,4405460357666E-06;3,44822183251381E-06;1,44913792610168E-06;7,18869408444789E-15;7,63104857082197E-15;1,64313007644523E-14;0;0;0
0,0277;0,0337;0,1403;0,1692;0,0826;0,1188;0;0;0;0,000188186764717102;0,000176936388015747;0,000252217054367065;1,4210854715202E-13;7,01660951563099E-14;2,56072940629792E-13;0;0;0
0,1426;0,1348;0,1731;0,0449;0,0771;0,1745;0;0;0;0,00480158627033234;6,03199005126953E-05;3,30060720443726E-05;6,8296562849568E-11;8,88178419700125E-14;8,65141291939153E-14;0;0;0
0,3506;0,0905;0,3603;0,071;0,1785;0,1917;0;0;0;0,000316448509693146;5,55254518985748E-06;5,26010990142822E-06;4,50889325875892E-13;1,25316423904565E-14;2,44249065417534E-14;0;0;0
0,3208;0,1062;0,3152;0,2192;0,1218;0,2708;0;0;0;0,000264585018157959;7,42077827453613E-06;1,16229057312012E-05;8,88511486607513E-13;1,14352971536391E-14;1,37112543541207E-14;0;0;0
0,2121;0,2165;0,3761;0,14;0,1602;0,4757;0;0;0;0,000384166836738586;0,000344447791576386;0,00702179968357086;1,93517424307288E-12;1,87971860299285E-12;1,02355068865023E-11;0;0;0
1,0097;0,4037;0,7819;0,5038;0,309;0,7724;0;0;0;0,000208154320716858;3,5509467124939E-05;2,91913747787476E-05;6,65106858477316E-13;3,97459842815806E-14;1,02695629777827E-13;0;0;0
0,231;0,3169;0,8298;0,4051;0,3573;0,7196;0;0;0;0,000364430248737335;2,91764736175537E-05;4,71696257591248E-05;5,34267075025241E-13;7,44265760133089E-14;5,95634652711396E-14;0;0;0
0,4613;0,4505;0,9807;0,3664;0,4268;0,9126;0;0;0;8,24257731437683E-05;2,52276659011841E-05;4,07099723815918E-05;1,36321509636161E-13;7,20534742981727E-14;5,8189564278166E-14;0;0;0
0,5014;0,4443;1,3641;0,4417;0,6209;1,6422;0;0;0;0,00796360895037651;0,00322607159614563;0,0744404569268227;5,00737090680659E-11;2,09381123550401E-12;1,44899647835928E-10;0;0;0
0,6074;0,5307;1,6699;1,8382;0,638;1,4254;0;0;0;0,00959441810846329;0,000186465680599213;0,00708353519439697;8,64959215363115E-11;6,9665523350082E-12;5,78855019472968E-12;0;0;0
0,6222;0,7009;1,4071;1,0298;0,7919;1,7536;0;0;0;0,010234571993351;4,99896705150604E-05;0,000174064189195633;7,82460207737756E-12;4,79755124516146E-14;2,13388334779907E-13;0;0;0
0,8017;0,9569;2,2474;0,8317;1,0505;2,2667;0;0;0;0,000682594254612923;4,94830310344696E-05;5,3897500038147E-05;1,13130685375218E-12;7,67684527058776E-14;1,1873835248366E-13;0;0;0
