_time;;;;;;;;;_difference
Float;;;Double;;;Fraction;;;Float;;;Double;;;Fraction;;
G;PG;FG;G;PG;FG;G;PG;FG;G;PG;FG;G;PG;FG;G;PG;FG
32,3428;144,988;144,9676;1,2552;1,1623;0,9632;3,0924;3,3056;2,9669;2,50339508056641E-06;2,50339508056641E-06;2,50339508056641E-06;1,60982338570648E-15;1,60982338570648E-15;1,60982338570648E-15;0;0;0
0,0047;0,0045;0,007;0,0035;0,0046;0,0069;2,0256;1,7624;2,5639;5,93066215515137E-06;3,87430191040039E-07;3,87430191040039E-07;3,27515792264421E-15;5,55111512312578E-16;1,22124532708767E-15;0;0;0
0,0079;0,0164;0,0545;0,0078;0,5749;0,0188;9,3839;9,691;12,6933;1,52438879013062E-05;8,04662704467773E-07;4,1276216506958E-06;3,06976666308856E-14;1,33226762955019E-15;3,77475828372553E-15;0;0;0
0,0146;0,0204;0,04;0,0165;0,0215;0,1109;38,2699;39,0689;44,0716;7,49528408050537E-06;1,14738941192627E-06;2,64495611190796E-06;6,02295990859147E-14;2,95596880306448E-15;2,23016050071578E-14;0;0;0
0,0271;0,0355;0,1702;0,0307;0,1242;0,0795;56,4335;71,5684;90,786;4,17530536651611E-05;3,27825546264648E-06;2,83569097518921E-05;1,42136302727636E-13;6,97497615220755E-14;4,56301663120939E-14;0;0;0
0,042;0,1311;0,198;0,0462;0,115;0,1661;128,6286;130,8659;153,5714;0,000389322638511658;1,56220048666E-05;1,60932540893555E-05;3,79404840877839E-13;8,37177549506407E-15;1,81243908770057E-14;0;0;0
0,0681;0,2382;0,5058;0,0786;0,1149;0,1805;243,019;243,9932;304,2485;0,000191226601600647;8,18073749542236E-06;0,00012563169002533;1,74416037168612E-13;4,11337630623621E-14;3,3717473257866E-13;0;0;0
0,1014;0,117;0,2545;0,1287;0,1155;0,405;383,2584;404,1708;490,8692;3,9905309677124E-05;8,79168510437012E-06;1,72555446624756E-05;2,61318744421146E-14;9,70057367766231E-15;1,85407245112401E-14;0;0;0
0,1347;0,322;0,4945;0,2873;0,2143;0,3753;512,245;531,9464;632,6197;0,000169828534126282;7,91251659393311E-06;5,84125518798828E-06;1,26010313294955E-12;5,07371922253697E-14;1,23928645123783E-14;0;0;0
0,3851;0,4114;0,7388;0,2786;0,222;0,5627;744,4381;785,5947;971,0069;0,000241488218307495;1,21444463729858E-05;1,34110450744629E-05;2,87103674168065E-13;5,00433028349789E-14;1,79578574233119E-14;0;0;0
1,789;0,4101;2,401;1,953;0,2767;0,7116;1154,1321;1217,449;1482,185;0,00817385129630566;4,51449304819107E-05;0,00118792802095413;2,86863380272173E-11;3,84050430346505E-14;1,55282731117978E-12;0;0;0
0,5145;0,3355;1,5547;0,3354;0,3597;1,0039;2049,6879;2098,8866;2699,9055;0,000915275886654854;9,60752367973328E-05;0,000175438821315765;1,12332018686878E-12;2,78804757058992E-14;2,08610906327067E-13;0;0;0
0,4305;0,8472;1,2934;0,4778;0,5172;1,2639;3251,1092;3436,5263;4056,9856;0,00330542027950287;0,000114284455776215;0,00193198025226593;8,10353173452683E-12;4,06064071256651E-13;2,62581623111657E-12;0;0;0
0,7443;1,6271;1,5314;1,1191;0,6469;2,7325;3941,2759;4039,4829;4984,9271;0,00120294839143753;3,7170946598053E-05;7,60257244110107E-05;2,96025703949709E-12;3,02535774210355E-14;1,06067932215126E-13;0;0;0
0,6307;0,651;3,6704;0,7042;0,7367;3,0803;5138,7413;5242,3689;6420,3017;0,0229539945721626;0,000857468694448471;0,000241145491600037;8,06063549241287E-12;5,56436841048225E-13;2,20073959056322E-13;0;0;0
0,7406;0,8385;2,0431;0,8188;0,8363;2,2525;6790,2828;7178,8965;8580,9842;0,000642724335193634;8,24965536594391E-05;3,7074089050293E-05;2,85692997037401E-12;6,71060429446868E-14;4,93355356567804E-14;0;0;0
0,9701;1,0554;2,4591;0,9426;1,0059;2,274;8895,146;9097,6728;10965,1319;0,0123665705323219;0,000750988721847534;0,00326763093471527;2,35380881452585E-11;3,22532278662635E-12;1,95214122644671E-11;0;0;0
3,4011;3,6505;5,8268;4,39;2,9701;5,2076;11490,1631;11813,6457;14449,1558;0,00653672637417912;2,31992453336716E-05;0,000261371023952961;1,25971906517197E-11;2,37002258096641E-13;3,48878911871076E-13;0;0;0
1,427;1,4303;3,6457;1,4264;1,5576;4,743;14735,618;15310,5578;17988,6307;0,00906447321176529;0,000125087797641754;0,000710492953658104;1,08394404563228E-11;8,88580875546552E-13;3,28759242052001E-12;0;0;0
1,3892;1,4487;3,2739;1,4372;1,6156;5,8363;17440,3584;18009,412;22108,67;0,0016380250453949;6,53937458992004E-05;5,89638948440552E-05;6,77391476244793E-12;1,14512566096181E-13;1,73236425204948E-13;0;0;0
6,1326;1,6062;4,9724;2,2595;5,8867;9,0393;22076,5537;22485,2147;27053,5772;0,00358569622039795;0,000247418880462646;0,000398866832256317;1,3077372518211E-11;6,35019814509974E-13;3,79307696363185E-13;0;0;0
2,2047;1,9392;8,4581;1,7334;15,9341;3,5997;29606,5397;29989,4118;37070,3045;0,00107987970113754;0,000108938664197922;0,000326946377754211;2,07313333167036E-12;1,36446409726432E-13;2,41098807585161E-13;0;0;0
6,5488;2,5076;10,3478;6,5701;2,6667;10,6442;34499,8354;35330,6499;41718,4038;0,00160860270261765;0,000125288963317871;0,000121787190437317;2,20706786180358E-12;9,41746680638289E-14;1,75665038071315E-13;0;0;0
3,5645;5,6914;15,1987;8,0473;5,8374;7,0784;36047,6667;37276,7;45517,1547;0,0122787207365036;0,000384777784347534;0,000134624540805817;5,18091541890087E-11;5,08135200583126E-13;4,0600856010542E-13;0;0;0
4,1844;2,8638;11,3538;6,2082;4,745;8,1716;44383,2485;45550,4985;55550,0288;0,0125921536237001;0,000138215720653534;0,00010332465171814;3,39179587194316E-11;3,13152281883333E-13;4,38697689286727E-13;0;0;0
4,022;3,2057;11,2436;3,4709;3,6134;8,6204;55889,7135;58679,6594;74001,523;0,706668019294739;0,000522490590810776;0,000500071793794632;9,07843217268223E-10;8,00547128587681E-13;5,01008956543814E-13;0;0;0
4,1897;3,0216;17,691;8,2537;6,5286;12,8952;70629,7806;72979,5158;86904,8315;0,0114477798342705;0,000138405710458755;0,000461533665657043;2,16127532537413E-11;6,13249034886465E-13;4,35484981409218E-13;0;0;0
6,7746;6,7322;13,2793;6,9311;6,8666;7,8989;80056,2386;82220,8529;98821,9124;0,379976272583008;0,00336717069149017;0,000650227069854736;1,59391576326495E-09;1,70334926719029E-12;1,13803411139202E-12;0;0;0
8,1107;8,5499;13,5509;7,9016;8,5382;11,4326;91848,0286;95489,4306;117400,7972;0,0195821076631546;0,000108693726360798;6,90184533596039E-05;2,33482677636232E-11;5,83684142685392E-13;1,94205762582556E-13;0;0;0
7,6006;6,3142;18,0292;8,1295;7,2934;15,6869;103776,7647;106815,8069;128913,8006;0,0056292861700058;0,000260308384895325;0,000321276485919952;1,73013686710632E-11;3,73964748057176E-13;6,63608057394072E-13;0;0;0
5,3634;5,5368;13,9689;5,9499;6,0501;16,2929;123152,1042;126816,8821;152709,9714;0,0317560397088528;0,00011812150478363;0,00208942219614983;3,35524767691719E-11;4,01748079248421E-13;3,51286361111036E-12;0;0;0
28,8496;24,8086;21,6825;10,6223;7,5485;16,0001;142757,9073;146999,3678;177867,3504;0,444453775882721;0,000138495117425919;0,000311270356178284;2,73204944778449E-10;5,84789161539589E-13;5,28705551561259E-13;0;0;0
6,9469;6,4239;36,8514;9,1381;10,2503;17,5447;165158,6996;169632,511;203587,6889;0,00498571712523699;0,000123340636491776;0,00013510137796402;5,05890208196691E-12;3,78143696910804E-13;1,7157109066801E-13;0;0;0
14,5524;15,2756;26,618;11,3414;7,8263;19,5582;186496,8988;191758,2774;231826,1701;0,195150792598724;0,00291216373443604;0,0013677254319191;6,2597066419201E-10;1,79592452020927E-12;5,18056431086933E-12;0;0;0
13,1889;12,754;22,9043;15,5871;11,7969;18,104;230690,6314;238616,5942;286376,7117;0,0335692539811134;0,00027136318385601;0,000263392925262451;5,76940994978514E-11;3,76323971984505E-13;4,64517313503166E-13;0;0;0
14,1067;14,4665;26,7959;13,1313;13,4527;19,8714;245432,7902;250226,2191;305624,3691;0,180913224816322;0,00421978533267975;0,00179537758231163;2,46244497015269E-10;2,3520213554562E-12;3,13104681071152E-11;0;0;0
46,3018;38,0718;28,0775;6,9994;9,7561;21,7071;281278,3535;288388,2076;348224,0952;0,0828573033213615;0,000256236642599106;0,000768803060054779;7,44932726615133E-11;8,08013378428285E-13;4,14092371503472E-13;0;0;0
30,7946;31,2244;48,9916;10,744;10,9951;25,4599;315937,0892;323145,4063;387980,9407;0,0172158479690552;0,000517252832651138;0,000385574996471405;8,06794908658759E-12;8,87061257781596E-13;1,78716763610254E-12;0;0;0
6,6599;31,2142;35,9853;12,3651;10,9048;24,6103;352976,1693;362391,1838;438012,1043;0,0213275924324989;0,000577210448682308;0,000994697213172913;7,82237330465563E-11;7,94610904852888E-13;5,43218248161281E-13;0;0;0
15,8873;16,756;34,0963;16,5893;17,2134;31,0283;397462,1757;408379,9747;492947,1829;0,130805373191833;0,00530060008168221;0,00109627097845078;3,40035499757363E-11;5,72661015829645E-12;4,85810003336695E-12;0;0;0
40,0656;39,9788;36,0724;16,8292;17,5261;34,7149;449561,366;461667,6912;559754,5762;0,0627646446228027;0,00165980681777;0,000905813649296761;5,69596730892741E-11;6,3739291622511E-13;2,31670932437922E-12;0;0;0
37,8271;36,8902;42,1702;19,7351;20,334;42,6585;509531,7709;520212,4933;627248,8611;0,0210149958729744;0,000307006761431694;0,000261038541793823;4,01624913881626E-11;3,6862526919812E-13;3,58563873037454E-13;0;0;0
18,3372;18,4008;36,7356;20,0074;19,2319;40,0052;560275,7701;570629,923;695837,4502;4,5075945854187;0,00308334268629551;0,0827693119645119;1,01564084226125E-09;2,62277942419953E-11;1,26643522058156E-10;0;0;0
14,8589;18,2212;42,396;18,9775;16,9796;52,8358;706954,3567;714506,3509;858136,0636;0,117320731282234;0,001500204205513;0,000477373600006104;2,92123995132565E-10;3,18294696155519E-12;4,01810529293556E-13;0;0;0
