XKey;Iteration;ValueFromFile;ValueForGaussSeidel;ValueForJacobi;IsSameValue
1;1;24,03097343444824;24,209511160850525;24,209511160850525;True
3;1;24,20161819458008;25,324433535337448;25,34641057252884;False
5;1;24,37852096557617;20,16653306037188;20,368887782096866;False
7;1;16,76022720336914;16,126388950273395;16,049443542957306;False
9;1;18,68594741821289;18,772334833163768;18,554959177970886;False
11;1;20,3004150390625;19,866720731253736;19,918506622314453;False
13;1;21,15322685241699;23,34872882187483;23,268143475055695;False
15;1;28,20166206359863;26,896651047914933;26,919859349727634;False
17;1;24,64936256408691;25,625176246352567;25,784987211227417;False
19;1;24,61622428894043;24,740242944313195;24,715076863765717;False
21;1;25,52790069580078;24,91288507328602;24,878239512443542;False
23;1;26,3569278717041;25,068563430641657;25,07050114870071;False
25;1;24,56888389587402;25,357507892167927;25,355928361415867;False
27;1;24,83362579345703;24,85586948501161;24,878248691558838;False
29;1;25,17230415344238;25,456041645737763;25,42198359966278;False
31;1;25,2171516418457;25,243797165221903;25,27695053815842;False
33;1;24,0760383605957;24,044157598896092;24,072825491428375;False
35;1;23,74386596679688;23,502504682917582;23,476938247680668;False
37;1;24,14917755126953;23,361142671014075;23,347708106040955;False
39;1;23,41884422302246;23,349267175817186;23,342297613620755;False
41;1;23,29597663879395;22,796757715189532;22,773541033267975;False
43;1;27,59750747680664;29,66737728882728;29,359639942646023;False
45;1;49,25175476074219;48,460508630750326;48,05181145668029;False
47;1;69,6506576538086;71,56812732267436;71,449063539505;False
49;1;94,01929473876953;94,90660985100256;94,97586488723755;False
51;1;103,2211761474609;104,68111459466819;105,20701289176942;False
53;1;101,0247497558594;96,1966244179681;96,68530249595642;False
55;1;117,1261901855469;109,63172158105488;108,82591152191164;False
57;1;130,6413879394531;133,78972361360167;133,5232393741608;False
59;1;144,1313781738281;144,18669027618026;144,64459538459778;False
61;1;160,7164916992188;158,75499369072057;158,5838775634766;False
63;1;175,0064392089844;175,32749312776542;175,2681107521057;False
65;1;191,7263488769531;191,9905401625777;191,99907970428467;False
67;1;206,9882659912109;207,4680059810841;207,53347206115723;False
69;1;217,9509124755859;219,1419935608813;219,32852935791013;False
71;1;219,9053192138672;219,0190508270038;219,45793247222903;False
73;1;208,2473602294922;208,95764678955646;209,2890582084656;False
75;1;196,3901519775391;195,16805614471295;195,260085105896;False
