ValueForGauss;IsBetterThanGauss;XKey;Iteration;ValueFromFile;ValueForGaussSeidel
23,94010876997236;False;1;1;24,03097343444824;24,209511160850525
25,41112996983756;True;3;1;24,20161819458008;25,324433535337448
20,396931342513952;False;5;1;24,37852096557617;20,16653306037188
15,987602007976534;True;7;1;16,76022720336914;16,126388950273395
18,889940755966276;True;9;1;18,68594741821289;18,772334833163768
19,8574253696171;True;11;1;20,3004150390625;19,866720731253736
23,17547113836806;False;13;1;21,15322685241699;23,34872882187483
26,959733284079242;False;15;1;28,20166206359863;26,896651047914933
25,646769307392013;True;17;1;24,64936256408691;25,625176246352567
24,729370707361014;False;19;1;24,61622428894043;24,740242944313195
24,927030087819084;False;21;1;25,52790069580078;24,91288507328602
25,029173732469825;True;23;1;26,3569278717041;25,068563430641657
25,411404844133273;True;25;1;24,56888389587402;25,357507892167927
24,815903559621976;False;27;1;24,83362579345703;24,85586948501161
25,429394903584893;False;29;1;25,17230415344238;25,456041645737763
25,27567848909388;True;31;1;25,2171516418457;25,243797165221903
24,04554478650871;False;33;1;24,0760383605957;24,044157598896092
23,51881286848761;False;35;1;23,74386596679688;23,502504682917582
23,32240098990706;True;37;1;24,14917755126953;23,361142671014075
23,58079244236144;True;39;1;23,41884422302246;23,349267175817186
23,140347714844548;False;41;1;23,29597663879395;22,796757715189532
29,69628071994309;True;43;1;27,59750747680664;29,66737728882728
48,47756003930946;False;45;1;49,25175476074219;48,460508630750326
71,19399811238202;False;47;1;69,6506576538086;71,56812732267436
94,28248209520788;False;49;1;94,01929473876953;94,90660985100256
105,59704251618588;True;51;1;103,2211761474609;104,68111459466819
96,38028072426495;False;53;1;101,0247497558594;96,1966244179681
109,04710539211325;True;55;1;117,1261901855469;109,63172158105488
134,11291162940125;True;57;1;130,6413879394531;133,78972361360167
144,16301891089952;False;59;1;144,1313781738281;144,18669027618026
158,76402063868278;False;61;1;160,7164916992188;158,75499369072057
175,2808985343694;False;63;1;175,0064392089844;175,32749312776542
191,90602726790692;False;65;1;191,7263488769531;191,9905401625777
207,10650896504788;False;67;1;206,9882659912109;207,4680059810841
218,91696793879615;False;69;1;217,9509124755859;219,1419935608813
218,95500465574403;True;71;1;219,9053192138672;219,0190508270038
209,07074125194853;True;73;1;208,2473602294922;208,95764678955646
195,36651298721884;False;75;1;196,3901519775391;195,16805614471295
184,65195420518202;False;77;1;184,3368988037109;184,8873248958591
180,46992411356183;True;79;1;181,4363861083984;180,66419086694714
170,80386531652292;True;81;1;169,3741760253906;170,2155102247
154,185305919785;False;83;1;154,2220306396484;153,53319433942434
154,128660928043;True;85;1;156,5656585693359;154,53966026600452
177,90431558105576;False;87;1;177,9583282470703;178,26341085360383
194,85594823821242;True;89;1;197,3320159912109;195,21160833853995
197,33558394045974;False;91;1;196,7015991210938;197,97091307039435
185,1677056850073;False;93;1;187,5399932861328;184,17188354880764
152,27740679607348;False;95;1;155,4353637695312;151,61387468240866
144,18980160640677;False;97;1;142,0917358398438;144,34627002263517
163,99704003757688;True;99;1;164,9383850097656;164,0566443359245
185,16546208666966;False;101;1;183,9333038330078;185,82273867340416
202,55437226637935;True;103;1;202,84033203125;202,6463189060203
199,75275479568893;True;105;1;200,4852447509766;199,93727767629645
188,26109132369214;False;107;1;188,2378234863281;188,65178802568906
169,75835705187646;True;109;1;168,5252075195312;169,73488538722398
138,06640232854326;True;111;1;136,9985504150391;136,79181046967656
105,32268375754666;True;113;1;105,8541946411133;105,37220991729458
110,39901097958791;True;115;1;109,607795715332;110,27307238906931
125,22826691486105;True;117;1;127,2530288696289;125,77464243091566
143,06083758258654;False;119;1;142,7357330322266;143,30802548846248
145,42964313076925;False;121;1;148,0290985107422;144,22823425898792
137,37381102470758;False;123;1;132,6455993652344;137,8342387756461
162,021451423965;False;125;1;162,1301574707031;162,41172677077967
